[10/6/25 07:34PM] Vibes used command ::beta | Player rights = PLAYER	
[10/8/25 08:59PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:59PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:59PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:00PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:01PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:01PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:02PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:02PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:02PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:02PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:02PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:03PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 09:03PM] Vibes used command ::nephilim | Player rights = RUBY_DONATOR	
[10/8/25 09:04PM] Vibes used command ::shops | Player rights = RUBY_DONATOR	
[10/8/25 09:04PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:05PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 09:05PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 09:06PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 09:06PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 09:06PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:07PM] Vibes used command ::nephilim | Player rights = RUBY_DONATOR	
[10/8/25 09:09PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:09PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:09PM] Vibes used command ::dk | Player rights = RUBY_DONATOR	
[10/8/25 09:10PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:10PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:15PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:16PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:17PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:21PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:23PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:24PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:16PM] Vibes used command ::vibes | Player rights = RUBY_DONATOR	
[10/9/25 01:16PM] Vibes used command ::vote | Player rights = RUBY_DONATOR	
[10/9/25 01:17PM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/9/25 01:20PM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/9/25 01:23PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:25PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:29PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:30PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:31PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:33PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:34PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:35PM] Vibes used command ::shops | Player rights = RUBY_DONATOR	
[10/9/25 06:54PM] Vibes used command ::bp | Player rights = RUBY_DONATOR	
[10/9/25 06:54PM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/9/25 06:56PM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/9/25 06:56PM] Vibes used command ::event | Player rights = RUBY_DONATOR	
[10/9/25 06:56PM] Vibes used command ::event | Player rights = RUBY_DONATOR	
[10/9/25 06:56PM] Vibes used command ::::event | Player rights = RUBY_DONATOR	
[10/9/25 06:56PM] Vibes used command ::event | Player rights = RUBY_DONATOR	
[10/9/25 06:56PM] Vibes used command ::event | Player rights = RUBY_DONATOR	
[10/9/25 06:56PM] Vibes used command ::party | Player rights = RUBY_DONATOR	
[10/9/25 07:01PM] Vibes used command ::mini | Player rights = RUBY_DONATOR	
[10/9/25 07:01PM] Vibes used command ::minime | Player rights = RUBY_DONATOR	
[10/9/25 07:01PM] Vibes used command ::free | Player rights = RUBY_DONATOR	
[10/9/25 07:01PM] Vibes used command ::bonds | Player rights = RUBY_DONATOR	
[10/9/25 07:01PM] Vibes used command ::teletohank | Player rights = RUBY_DONATOR	
[10/9/25 07:02PM] Vibes used command ::teleto hank | Player rights = RUBY_DONATOR	
[10/9/25 07:02PM] Vibes used command ::shops | Player rights = RUBY_DONATOR	
[10/9/25 07:04PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/9/25 07:04PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 07:05PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 07:06PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 07:06PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/9/25 07:07PM] Vibes used command ::shops | Player rights = RUBY_DONATOR	
[10/9/25 07:07PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 07:08PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 07:16PM] Vibes used command ::gold | Player rights = RUBY_DONATOR	
[10/9/25 07:16PM] Vibes used command ::emerald | Player rights = RUBY_DONATOR	
[10/9/25 07:16PM] Vibes used command ::diamond | Player rights = RUBY_DONATOR	
[10/9/25 07:16PM] Vibes used command ::oxyn | Player rights = RUBY_DONATOR	
[10/9/25 07:16PM] Vibes used command ::zenyte | Player rights = RUBY_DONATOR	
[10/9/25 07:16PM] Vibes used command ::rube | Player rights = RUBY_DONATOR	
[10/9/25 07:16PM] Vibes used command ::ruby | Player rights = RUBY_DONATOR	
[10/10/25 10:24AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 10:24AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 10:25AM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/10/25 10:25AM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/10/25 10:31AM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/10/25 10:31AM] Vibes used command ::vote | Player rights = RUBY_DONATOR	
[10/10/25 10:32AM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/10/25 10:34AM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/10/25 10:39AM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/10/25 10:41AM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/10/25 10:42AM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/10/25 10:43AM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/10/25 10:43AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 10:43AM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/10/25 10:43AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 10:52AM] Vibes used command ::shops | Player rights = RUBY_DONATOR	
[10/10/25 10:53AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 10:55AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 10:59AM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/10/25 11:03AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:04AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:05AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:05AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:05AM] Vibes used command ::sapphire | Player rights = RUBY_DONATOR	
[10/10/25 11:06AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:07AM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:07AM] Vibes used command ::case | Player rights = RUBY_DONATOR	
[10/10/25 11:07AM] Vibes used command ::key | Player rights = RUBY_DONATOR	
[10/10/25 11:07AM] Vibes used command ::ruby | Player rights = RUBY_DONATOR	
[10/10/25 07:52PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 07:57PM] Vibes used command ::dk | Player rights = RUBY_DONATOR	
[10/10/25 08:00PM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/10/25 08:00PM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/10/25 08:06PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 08:07PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/11/25 11:36AM] Vibes used command ::claim | Player rights = RUBY_DONATOR	
[10/11/25 11:36AM] Vibes used command ::votef | Player rights = RUBY_DONATOR	
[10/11/25 11:36AM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/11/25 11:36AM] Vibes used command ::ref | Player rights = RUBY_DONATOR	
[10/11/25 11:36AM] Vibes used command ::ruby | Player rights = RUBY_DONATOR	
