[10/6/25 05:10AM] Grand used command ::vote | Player rights = PLAYER	
[10/9/25 05:31AM] Grand used command ::dono | Player rights = ONYX_DONATOR	
[10/9/25 05:31AM] Grand used command ::massboss | Player rights = ONYX_DONATOR	
[10/9/25 05:31AM] Grand used command ::chill | Player rights = ONYX_DONATOR	
[10/9/25 05:31AM] Grand used command ::dropparty | Player rights = ONYX_DONATOR	
[10/9/25 05:31AM] Grand used command ::staffs | Player rights = ONYX_DONATOR	
[10/9/25 05:31AM] Grand used command ::szone | Player rights = ONYX_DONATOR	
[10/9/25 05:31AM] Grand used command ::onyx | Player rights = ONYX_DONATOR	
[10/9/25 05:34AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 05:34AM] Grand used command ::onyx | Player rights = ONYX_DONATOR	
[10/9/25 05:34AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 02:13PM] Grand used command ::hellraiser | Player rights = HELPER	
[10/9/25 02:13PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 02:15PM] Grand used command ::naraku | Player rights = HELPER	
[10/9/25 02:17PM] Grand used command ::nm | Player rights = HELPER	
[10/9/25 02:20PM] Grand used command ::slayerboss | Player rights = HELPER	
[10/9/25 02:22PM] Grand used command ::itemid | Player rights = HELPER	
[10/9/25 02:22PM] Grand used command ::item 1 | Player rights = HELPER	
[10/9/25 02:22PM] Grand used command ::item 6006 1 | Player rights = HELPER	
[10/9/25 02:22PM] Grand used command ::spawn 1005 | Player rights = HELPER	
[10/9/25 02:22PM] Grand used command ::spawn 103 | Player rights = HELPER	
[10/9/25 02:32PM] Grand used command ::perks | Player rights = HELPER	
[10/9/25 02:33PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 02:33PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 02:37PM] Grand used command ::vboss | Player rights = HELPER	
[10/9/25 02:37PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 02:39PM] Grand used command ::nephilim | Player rights = HELPER	
[10/9/25 02:40PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 02:43PM] Grand used command ::dropparty | Player rights = HELPER	
[10/9/25 02:43PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 02:46PM] Grand used command ::teleto justin | Player rights = HELPER	
[10/9/25 02:46PM] Grand used command ::iron | Player rights = HELPER	
[10/9/25 02:47PM] Grand used command ::szone | Player rights = HELPER	
[10/9/25 02:47PM] Grand used command ::staffzone | Player rights = HELPER	
[10/9/25 02:47PM] Grand used command ::iron | Player rights = HELPER	
[10/9/25 02:47PM] Grand used command ::iron | Player rights = HELPER	
[10/9/25 02:48PM] Grand used command ::teleto hank | Player rights = HELPER	
[10/9/25 02:48PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 02:49PM] Grand used command ::voted | Player rights = HELPER	
[10/9/25 02:49PM] Grand used command ::daily | Player rights = HELPER	
[10/9/25 02:55PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 02:55PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 02:57PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 02:58PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 03:02PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 03:07PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 03:07PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 03:11PM] Grand used command ::naraku | Player rights = HELPER	
[10/9/25 03:23PM] Grand used command ::onyx | Player rights = HELPER	
[10/9/25 03:43PM] Grand used command ::bank | Player rights = HELPER	
[10/9/25 03:43PM] Grand used command ::nm | Player rights = HELPER	
[10/9/25 03:44PM] Grand used command ::nm | Player rights = HELPER	
[10/9/25 03:44PM] Grand used command ::nm | Player rights = HELPER	
[10/9/25 03:50PM] Grand used command ::nephilim | Player rights = HELPER	
[10/9/25 03:50PM] Grand used command ::vozzath | Player rights = HELPER	
[10/9/25 03:50PM] Grand used command ::dk | Player rights = HELPER	
[10/9/25 04:55PM] Grand used command ::commands | Player rights = HELPER	
[10/9/25 04:56PM] Grand used command ::itemstats | Player rights = HELPER	
[10/9/25 04:56PM] Grand used command ::iron | Player rights = HELPER	
[10/10/25 05:25AM] Grand used command ::onyx | Player rights = HELPER	
[10/10/25 05:41AM] Grand used command ::hellraiser | Player rights = HELPER	
[10/10/25 05:41AM] Grand used command ::zenite | Player rights = HELPER	
[10/10/25 05:44AM] Grand used command ::bank | Player rights = HELPER	
[10/10/25 05:47AM] Grand used command ::afk | Player rights = HELPER	
[10/10/25 05:47AM] Grand used command ::onyx | Player rights = HELPER	
