[10/5/25 07:10AM] Sender: Hank, Message: Sup spoon	
[10/7/25 02:26PM] Sender: Test, Message: Am working on fixing voting, trying to connect it to a database so 	
[10/7/25 02:26PM] Sender: Test, Message: We can have our own voting website on our domain	
[10/7/25 02:27PM] Sender: Test, Message: You can accessand vote at levincia.io/vote atm but rewards	
[10/7/25 02:27PM] Sender: Test, Message: Cant be claimed	
[10/7/25 02:27PM] Sender: Ghijf, Message: Idc on rewards server needs to be shown 	
[10/7/25 02:44PM] Sender: Justin, Message: Anyone know how to cliam donos?	
[10/7/25 02:45PM] Sender: Ghijf, Message: Pm hank on discord tink not auto cause vote isn't also	
[10/7/25 02:45PM] Sender: Ghijf, Message: If u donated , bonds claim auto just relog	
[10/7/25 03:03PM] Sender: Juggy, Message: Rigged	
[10/7/25 03:03PM] Sender: Ghijf, Message: Ffffffff	
[10/7/25 03:03PM] Sender: Juggy, Message: Loool	
[10/7/25 03:03PM] Sender: Hank, Message: Gz justin	
[10/7/25 03:03PM] Sender: Justin, Message: Oooooooooooo	
[10/7/25 03:05PM] Sender: Juggy, Message: Do slayer crates drop on any task?	
[10/7/25 03:05PM] Sender: Hank, Message: Yes	
[10/7/25 03:05PM] Sender: Juggy, Message: Nice	
[10/7/25 03:05PM] Sender: Hank, Message: All task its random	
[10/7/25 03:14PM] Sender: Vibes, Message:  hello	
[10/7/25 03:15PM] Sender: Ghijf, Message: Sup	
[10/7/25 03:15PM] Sender: Vibes, Message:  hank you there? currently stuck	
[10/7/25 03:16PM] Sender: Test, Message: Still stuck?	
[10/7/25 03:16PM] Sender: Vibes, Message: Gtg forgot to put my pin in lol	
[10/7/25 03:16PM] Sender: Vibes, Message:  voted 	
[10/7/25 03:42PM] Sender: H8, Message: I got a supreme dark beast spawned but cant attack it	
[10/7/25 03:42PM] Sender: H8, Message: Nvm got it	
[10/7/25 03:46PM] Sender: Ghijf, Message: Hank u here	
[10/7/25 03:48PM] Sender: Hank, Message: Hey	
[10/7/25 03:48PM] Sender: Hank, Message: I belive it 30min to an hour	
[10/7/25 03:48PM] Sender: Ghijf, Message: Hey the scroll from slayer is it limited or always x2?	
[10/7/25 03:48PM] Sender: Hank, Message: I can make perm	
[10/7/25 03:49PM] Sender: Hank, Message: 2x	
[10/7/25 03:58PM] Sender: Ghijf, Message: Hank	
[10/7/25 04:00PM] Sender: Ghijf, Message: Not bad server a day on runelocus rank 21 with 17 votes	
[10/7/25 04:11PM] Sender: Hank, Message: Yeah that makes me happy	
[10/7/25 04:13PM] Sender: Hank, Message: Who ready for vboss?	
[10/7/25 04:13PM] Sender: Justin, Message: This guy	
[10/7/25 04:40PM] Sender: Grand, Message: Sup	
[10/7/25 04:40PM] Sender: Hank, Message: Sup brother	
[10/7/25 04:41PM] Sender: Grand, Message: Back from work :)	
[10/7/25 04:42PM] Sender: Hank, Message: Nice how was it	
[10/7/25 04:42PM] Sender: Ghijf, Message: Like a workday i guess?	
[10/7/25 04:48PM] Sender: Ghijf, Message: Am i blind or can't i find the afk shop	
[10/7/25 04:49PM] Sender: Ghijf, Message: Nvm found	
[10/7/25 04:58PM] Sender: Grand, Message: Me	
[10/7/25 04:58PM] Sender: Justin, Message: Me	
[10/7/25 04:59PM] Sender: Ghijf, Message: Im doing slayer	
[10/7/25 04:59PM] Sender: Hank, Message: Lets do 3 vbossed	
[10/7/25 04:59PM] Sender: Ghijf, Message: Ok	
[10/7/25 05:00PM] Sender: History hawk, Message: Get 99 slayer and we will raid together	
[10/7/25 05:01PM] Sender: Grand, Message: 97 atm	
[10/7/25 05:01PM] Sender: Ghijf, Message: 93 	
[10/7/25 05:01PM] Sender: Justin, Message: Only 91	
[10/7/25 05:01PM] Sender: Grand, Message: Hank for prestige box need all skills 120?	
[10/7/25 05:02PM] Sender: Hank, Message: Yes	
[10/7/25 05:02PM] Sender: Grand, Message: But where prestige master?	
[10/7/25 05:02PM] Sender: Ghijf, Message: Shops max	
[10/7/25 05:02PM] Sender: Grand, Message: Or only on any skill click prestige?	
[10/7/25 05:02PM] Sender: Grand, Message: Ty	
[10/7/25 05:02PM] Sender: Hank, Message: Do ::prestige	
[10/7/25 05:02PM] Sender: Ghijf, Message: U can buy max cape 5m or prestige at max	
[10/7/25 05:20PM] Sender: Justin, Message: Hax	
[10/7/25 05:21PM] Sender: History hawk, Message: Back to slayer	
[10/7/25 05:22PM] Sender: Justin, Message: What do attatchments do?	
[10/7/25 05:23PM] Sender: Grand, Message: Upgrades	
[10/7/25 05:23PM] Sender: History hawk, Message: For upgrade	
[10/7/25 05:23PM] Sender: Justin, Message: Gz what ya get?	
[10/7/25 05:23PM] Sender: History hawk, Message: $50 bond	
[10/7/25 05:31PM] Sender: Grand, Message: Gz	
[10/7/25 05:31PM] Sender: History hawk, Message: Gz	
[10/7/25 05:31PM] Sender: Spoon, Message: Ty	
[10/7/25 05:31PM] Sender: History hawk, Message: Who wants to do legdens raids with me	
[10/7/25 05:32PM] Sender: History hawk, Message: Need mage range and melee	
[10/7/25 05:32PM] Sender: Spoon, Message: Nah jsut mage and range	
[10/7/25 05:34PM] Sender: Justin, Message: Gz an gl	
[10/7/25 05:34PM] Sender: Grand, Message: Ty	
[10/7/25 05:35PM] Sender: History hawk, Message: Gz	
[10/7/25 05:35PM] Sender: Grand, Message: Ty	
[10/7/25 05:42PM] Sender: Grand, Message: Come naraku	
[10/7/25 05:42PM] Sender: Justin, Message: Gzzz	
[10/7/25 05:42PM] Sender: History hawk, Message: Ty	
[10/7/25 05:44PM] Sender: Justin, Message: ::dk	
[10/7/25 05:47PM] Sender: Grand, Message: Gz	
[10/7/25 05:49PM] Sender: Justin, Message: Where we get chilling gloves?	
[10/7/25 05:49PM] Sender: Grand, Message: Check in quest tab>possible loots	
[10/7/25 05:49PM] Sender: Grand, Message: Think in any chest	
[10/7/25 05:50PM] Sender: Grand, Message: Rip	
[10/7/25 05:50PM] Sender: History hawk, Message: Wow 3 b2b	
[10/7/25 05:50PM] Sender: History hawk, Message: Lame	
[10/7/25 05:51PM] Sender: History hawk, Message: Save all chest and upgrade them at lvl 90	
[10/7/25 05:51PM] Sender: History hawk, Message: Its worth it	
[10/7/25 05:51PM] Sender: Grand, Message: Lol	
[10/7/25 05:53PM] Sender: Grand, Message: Gzzz	
[10/7/25 05:53PM] Sender: Justin, Message: Gzz	
[10/7/25 05:54PM] Sender: History hawk, Message: Same stats as my wings	
[10/7/25 05:59PM] Sender: Grand, Message: Ty	
[10/7/25 06:00PM] Sender: Justin, Message: Tyty	
[10/7/25 06:00PM] Sender: Hank, Message: Np	
[10/7/25 06:04PM] Sender: Grand, Message: Gz	
[10/7/25 06:06PM] Sender: Grand, Message: Tyyy :)	
[10/7/25 06:08PM] Sender: Grand, Message: Thx hank :)	
[10/7/25 06:08PM] Sender: Justin, Message: Tyty	
[10/7/25 06:08PM] Sender: Hank, Message: 1 vote away from 20	
[10/7/25 06:08PM] Sender: Grand, Message: Nice :)	
[10/7/25 06:09PM] Sender: Grand, Message: Today many ppls now :)	
[10/7/25 06:09PM] Sender: Hank, Message: We are at 20 now i just voted lol	
[10/7/25 06:09PM] Sender: Hank, Message: Im slacking guys	
[10/7/25 06:09PM] Sender: Grand, Message: :)	
[10/7/25 06:09PM] Sender: Hank, Message: Histroy you know i can see all chats on vps? right	
[10/7/25 06:10PM] Sender: Grand, Message: :d	
[10/7/25 06:11PM] Sender: History hawk, Message: Ty godslayer	
[10/7/25 06:11PM] Sender: Grand, Message: Thx!!!	
[10/7/25 06:15PM] Sender: Grand, Message: And two beer atm left still	
[10/7/25 06:17PM] Sender: Grand, Message: Then go rest :)	
[10/7/25 06:19PM] Sender: Grand, Message: All good :)	
[10/7/25 06:30PM] Sender: Justin, Message: Gz	
[10/7/25 06:30PM] Sender: Grand, Message: Tyyyyy	
[10/7/25 06:45PM] Sender: Evilspot, Message: Is phase 6 last zone? orrr	
[10/7/25 06:45PM] Sender: Justin, Message: Yes last one	
[10/7/25 06:45PM] Sender: Evilspot, Message: Bet	
[10/7/25 06:51PM] Sender: Evilspot, Message: Where can i sell all my junk?	
[10/7/25 06:51PM] Sender: Grand, Message: Dissolve or at ::shops	
[10/7/25 06:51PM] Sender: Evilspot, Message: Which shop?	
[10/7/25 06:52PM] Sender: Grand, Message: Find it	
[10/7/25 06:53PM] Sender: Grand, Message: Och same cant find	
[10/7/25 06:54PM] Sender: Justin, Message: Note what you dont want an put in invy (only what you wish to lose)	
[10/7/25 06:54PM] Sender: Justin, Message: An do ::dissolveall	
[10/7/25 06:55PM] Sender: Evilspot, Message: There should be a shop though no???	
[10/7/25 06:55PM] Sender: Grand, Message: Cant find where can sell junks	
[10/7/25 06:57PM] Sender: Evilspot, Message: I guess not	
[10/7/25 07:06PM] Sender: Grand, Message: Oo	
[10/7/25 07:07PM] Sender: Test, Message: I hope you get the bestest drops!	
[10/7/25 07:07PM] Sender: Evilspot, Message: Come nephlim	
[10/7/25 07:07PM] Sender: Grand, Message: :)	
[10/7/25 07:13PM] Sender: Evilspot, Message: Tle	
[10/7/25 07:13PM] Sender: Evilspot, Message: Tele	
[10/7/25 07:13PM] Sender: Test, Message: Can you come to ::dropparty	
[10/7/25 07:26PM] Sender: Test, Message: Thanks for testing the event	
[10/7/25 07:28PM] Sender: Grand, Message: Gnnn guys :) and thx hank :)	
[10/7/25 07:28PM] Sender: Justin, Message: Gngn	
[10/7/25 07:29PM] Sender: Vibes, Message:  ::dk	
[10/7/25 07:32PM] Sender: Big daddy d, Message:  are there any referrals?	
[10/7/25 07:48PM] Sender: You, Message: Anyone to ::dk	
[10/7/25 08:04PM] Sender: Evilspot, Message: Where can i get x2kc pet?	
[10/7/25 08:04PM] Sender: You, Message: Pvmshop	
[10/7/25 08:04PM] Sender: Hank, Message: Or donor shop	
[10/7/25 08:06PM] Sender: Sun, Message:  playing xbox 	
[10/7/25 08:06PM] Sender: Evilspot, Message: Ty	
[10/7/25 08:06PM] Sender: Hank, Message: Nice	
[10/7/25 08:15PM] Sender: Evilspot, Message: Is there any aggressive potions or?	
[10/7/25 08:15PM] Sender: Hank, Message: No	
[10/7/25 08:15PM] Sender: You, Message: Hank himself is aggro	
[10/7/25 08:15PM] Sender: You, Message: X[]	
[10/7/25 08:51PM] Sender: Hank, Message: Thinking about add bis set to store	
[10/7/25 08:51PM] Sender: Evilspot, Message: Ummmm.....	
[10/7/25 08:51PM] Sender: Evilspot, Message: Which store	
[10/7/25 08:52PM] Sender: Hank, Message: Donation store	
[10/7/25 08:52PM] Sender: Hank, Message: Online	
[10/7/25 08:53PM] Sender: Evilspot, Message: For a crazy amount though?	
[10/7/25 08:53PM] Sender: Evilspot, Message: Ohhh	
[10/7/25 08:53PM] Sender: Evilspot, Message: Like on websit?	
[10/7/25 08:53PM] Sender: Evilspot, Message: Website*?	
[10/7/25 08:53PM] Sender: Hank, Message: Yea	
[10/7/25 08:53PM] Sender: Hank, Message: ::donate	
[10/7/25 08:53PM] Sender: Evilspot, Message: Hmmm	
[10/7/25 09:09PM] Sender: Evilspot, Message: Ill buy tmrw after work :p	
[10/7/25 09:09PM] Sender: Hank, Message: Buy what?	
[10/7/25 09:10PM] Sender: Evilspot, Message: Member	
[10/7/25 09:29PM] Sender: History hawk, Message: Im in	
[10/7/25 09:29PM] Sender: Dox, Message: I cant even create a raid party without it saying that message	
[10/7/25 09:29PM] Sender: History hawk, Message: Strange	
[10/7/25 09:30PM] Sender: Dox, Message: Try inviting me to your party	
[10/7/25 09:33PM] Sender: Dox, Message: Take care bud, sleep well :) thankyoooou	
[10/7/25 09:34PM] Sender: Hank, Message: Yep 	
[10/7/25 09:34PM] Sender: Hank, Message: Gz dox	
[10/7/25 09:34PM] Sender: Dox, Message: Ayyo	
[10/7/25 09:34PM] Sender: Hank, Message: Msg me on discord if need anything	
[10/7/25 09:35PM] Sender: Dox, Message: Roger that	
[10/7/25 09:41PM] Sender: Dox, Message: Welcome!	
[10/7/25 09:45PM] Sender: Evilspot, Message: Yo tin	
[10/7/25 09:46PM] Sender: Tin, Message: Yo 	
[10/7/25 09:46PM] Sender: Evilspot, Message: Come home	
[10/7/25 09:50PM] Sender: Dox, Message: Is there 2 other people who would be keen to do pest control ?	
[10/7/25 09:50PM] Sender: Dox, Message: Only task i need for startertasks	
[10/7/25 10:26PM] Sender: Evilspot, Message: Anyone going nightmare?	
[10/7/25 10:26PM] Sender: Dox, Message: Ye	
[10/7/25 10:42PM] Sender: Evilspot, Message: Yo dox	
[10/7/25 10:42PM] Sender: Evilspot, Message: Naraku?	
[10/7/25 10:45PM] Sender: Dox, Message: Sure	
[10/7/25 11:09PM] Sender: Ghijf, Message: Deathtough dart doesn't work?	
[10/7/25 11:11PM] Sender: Evilspot, Message: Wait huhhh	
[10/7/25 11:11PM] Sender: Ghijf, Message: Hank my deathtouch dart doesn't work?	
[10/7/25 11:16PM] Sender: Dox, Message: What are you trying to use the darts on ?	
[10/7/25 11:16PM] Sender: Evilspot, Message: My bumhole	
[10/7/25 11:17PM] Sender: Dox, Message: 0.o	
[10/7/25 11:17PM] Sender: Ghijf, Message: Hellraiser	
[10/7/25 11:17PM] Sender: Dox, Message: They dont work on globals	
[10/7/25 11:17PM] Sender: Ghijf, Message: Ok	
[10/7/25 11:17PM] Sender: Evilspot, Message: That would be too op	
[10/7/25 11:17PM] Sender: Ghijf, Message: Come ::hellraiser good drops	
[10/8/25 12:08AM] Sender: Ghijf, Message: Gzz	
[10/8/25 12:20AM] Sender: Ghijf, Message: Whats every1 grinding	
[10/8/25 12:21AM] Sender: Dox, Message: Zones	
[10/8/25 12:23AM] Sender: Ghijf, Message: Nice	
[10/8/25 12:32AM] Sender: Ghijf, Message: Hellraiser	
[10/8/25 01:11AM] Sender: Ghijf, Message: Hank?	
[10/8/25 01:12AM] Sender: Atz, Message: Noob	
[10/8/25 02:02AM] Sender: Ghijf, Message: Help at ::dk?	
[10/8/25 02:02AM] Sender: Ghijf, Message: Almost dead tho	
[10/8/25 02:19AM] Sender: Ghijf, Message: Any has chilling gloves??	
[10/8/25 03:11AM] Sender: Grand, Message: Gz	
[10/8/25 06:46AM] Sender: Grand, Message: Yo	
[10/8/25 06:57AM] Sender: Hank, Message: How is it going	
[10/8/25 07:27AM] Sender: You, Message: Good day	
[10/8/25 07:27AM] Sender: You, Message: Just got back from work, its raining outside	
[10/8/25 07:28AM] Sender: Hank, Message: Rain is a good thing	
[10/8/25 07:30AM] Sender: Hank, Message: At 23 votes on rulocus	
[10/8/25 07:30AM] Sender: You, Message: Now?:d	
[10/8/25 07:30AM] Sender: Hank, Message: Yeah	
[10/8/25 07:30AM] Sender: You, Message: Now at 24:ld	
[10/8/25 07:31AM] Sender: Hank, Message: Ohh ice	
[10/8/25 07:31AM] Sender: Hank, Message: Nice	
[10/8/25 08:31AM] Sender: Hank, Message: Wlecome back thecyb	
[10/8/25 08:31AM] Sender: Thecyb, Message:  long day , xd tyy	
[10/8/25 08:38AM] Sender: Justin, Message: Selling rage cape, pm offers	
[10/8/25 09:02AM] Sender: You, Message: We can claim now?:d	
[10/8/25 09:03AM] Sender: You, Message: Ohh xd	
[10/8/25 09:03AM] Sender: Hank, Message: Im still working on claiming part my end is good waiting on rulocus	
[10/8/25 09:22AM] Sender: Hank, Message: Welcome	
[10/8/25 09:43AM] Sender: You, Message: Is there donator zones?	
[10/8/25 09:44AM] Sender: Justin, Message: How we claim votes?	
[10/8/25 09:56AM] Sender: You, Message: Gh	
[10/8/25 09:56AM] Sender: You, Message: What zone you in?:d	
[10/8/25 09:58AM] Sender: You, Message: Hank	
[10/8/25 10:35AM] Sender: Spoon, Message: Boop	
[10/8/25 10:35AM] Sender: Hank, Message: Sup	
[10/8/25 10:36AM] Sender: Spoon, Message: Not much hoiw aboiut you	
[10/8/25 10:36AM] Sender: Hank, Message: Its goign working on a few things	
[10/8/25 10:37AM] Sender: Spoon, Message: Nice	
[10/8/25 10:43AM] Sender: Thecyb, Message: Cant claim votes yet?	
[10/8/25 10:43AM] Sender: Hank, Message: I amost have it	
[10/8/25 10:43AM] Sender: Thecyb, Message:  niceeee	
[10/8/25 10:45AM] Sender: You, Message: Need to check veteran rank upgrade exp	
[10/8/25 10:45AM] Sender: You, Message: Dosent matter wich tier i do i get same xp ,234exp	
[10/8/25 10:47AM] Sender: Hank, Message: Ok	
[10/8/25 10:51AM] Sender: Thecyb, Message: Tyty	
[10/8/25 10:51AM] Sender: H8, Message: Ty han	
[10/8/25 10:51AM] Sender: Hank, Message: Yw	
[10/8/25 10:51AM] Sender: You, Message: 2?	
[10/8/25 10:51AM] Sender: You, Message: I have to feed kids	
[10/8/25 10:51AM] Sender: You, Message: Bils to pay	
[10/8/25 10:52AM] Sender: You, Message: Cmon, do 2147m +tax	
[10/8/25 10:52AM] Sender: You, Message: Xdfddd	
[10/8/25 10:54AM] Sender: Delicious, Message: Cause you dont want ghijf as staff? x.d	
[10/8/25 10:58AM] Sender: Delicious, Message: Aww it was already full, needed to put 5m into well .-.	
[10/8/25 11:10AM] Sender: Delicious, Message: Can you get arrav outfit here aswell?	
[10/8/25 11:15AM] Sender: Delicious, Message: Oof hard slayers are not aoe able	
[10/8/25 12:12PM] Sender: Delicious, Message: Anyone up for pc? wanna complete these startertasks	
[10/8/25 12:16PM] Sender: Crotone, Message: How do we claim votes?	
[10/8/25 12:17PM] Sender: Delicious, Message: Idk if we can yet	
[10/8/25 12:17PM] Sender: Delicious, Message: But ::voted	
[10/8/25 01:05PM] Sender: Delicious, Message: How to prestige? cause right click doesnt work on skills	
[10/8/25 01:05PM] Sender: Delicious, Message: Or is it bugged?	
[10/8/25 01:05PM] Sender: Hank, Message: ::prestige	
[10/8/25 01:06PM] Sender: Hank, Message: Need all skills 120	
[10/8/25 01:06PM] Sender: Delicious, Message:  ah alright, so cant prestige 1 b y 1	
[10/8/25 01:06PM] Sender: Hank, Message: Nope	
[10/8/25 01:06PM] Sender: Hank, Message: Thats too easy	
[10/8/25 01:06PM] Sender: Delicious, Message: Gonna be a challenge for vet :p	
[10/8/25 01:07PM] Sender: Hank, Message: Yup :p	
[10/8/25 01:38PM] Sender: Spoon, Message: Cant talk to sir away for the afk shop	
[10/8/25 01:38PM] Sender: Hank, Message: Thats on my list	
[10/8/25 01:39PM] Sender: Ghijf, Message: Hank	
[10/8/25 01:39PM] Sender: Hank, Message: Sup	
[10/8/25 01:39PM] Sender: Ghijf, Message: Happy bday	
[10/8/25 01:39PM] Sender: Hank, Message: What?	
[10/8/25 01:39PM] Sender: Ghijf, Message: Tele to me lol	
[10/8/25 01:39PM] Sender: Delicious, Message: Lol	
[10/8/25 01:42PM] Sender: Ghijf, Message: Nice	
[10/8/25 01:42PM] Sender: Delicious, Message: Gzzzz	
[10/8/25 01:42PM] Sender: History hawk, Message: Fking spoon i swear	
[10/8/25 01:42PM] Sender: Spoon, Message: Lmao	
[10/8/25 01:44PM] Sender: Spoon, Message: Something	
[10/8/25 01:44PM] Sender: Spoon, Message: Thank you! :)	
[10/8/25 01:44PM] Sender: Ghijf, Message: Gzz	
[10/8/25 01:44PM] Sender: Delicious, Message: Gz	
[10/8/25 01:47PM] Sender: Delicious, Message: Gn everyone	
[10/8/25 01:47PM] Sender: Hank, Message: Gn bro	
[10/8/25 01:47PM] Sender: Spoon, Message: Killing dk!	
[10/8/25 01:47PM] Sender: Spoon, Message: Good night	
[10/8/25 01:50PM] Sender: Ghijf, Message: Hank where to get chilling gloves	
[10/8/25 01:51PM] Sender: Ghijf, Message: ??	
[10/8/25 01:51PM] Sender: Hank, Message: Soz for spam	
[10/8/25 01:51PM] Sender: Spoon, Message: All good!	
[10/8/25 01:51PM] Sender: Ghijf, Message: Where to get chilling gloves	
[10/8/25 01:52PM] Sender: Ghijf, Message: Can't pickup my drop	
[10/8/25 01:53PM] Sender: Ghijf, Message: Lol thats it a quest 	
[10/8/25 01:53PM] Sender: Ghijf, Message: I hoped i could hatch the egg lol	
[10/8/25 01:55PM] Sender: Ghijf, Message: What does deity attachment do	
[10/8/25 01:56PM] Sender: Spoon, Message: Not sure..	
[10/8/25 01:57PM] Sender: Hank, Message: Its for upgrade	
[10/8/25 02:04PM] Sender: Ghijf, Message: Staffluck	
[10/8/25 02:04PM] Sender: Spoon, Message: Lol it sucks :p	
[10/8/25 02:14PM] Sender: Hank, Message: Instance going from 60-120	
[10/8/25 02:14PM] Sender: Ghijf, Message: Yess	
[10/8/25 02:29PM] Sender: Ghijf, Message: Do i had to use ::?	
[10/8/25 02:30PM] Sender: Ghijf, Message: I was faster but did it like a command	
[10/8/25 02:30PM] Sender: Spoon, Message: Yep use ::answer	
[10/8/25 02:43PM] Sender: Hank, Message: Upgrading card packs atm	
[10/8/25 02:49PM] Sender: Ghijf, Message: Guys	
[10/8/25 02:50PM] Sender: Ghijf, Message: I get double drops?	
[10/8/25 02:50PM] Sender: Ghijf, Message: Oh nvm	
[10/8/25 02:52PM] Sender: Hank, Message: Small update on levincia card pack	
[10/8/25 02:52PM] Sender: Hank, Message: Added new items to it	
[10/8/25 02:52PM] Sender: Hank, Message: Going to reword the rest 	
[10/8/25 02:54PM] Sender: Spoon, Message: Damn	
[10/8/25 03:23PM] Sender: Ghijf, Message: We need guides lol idk what that pet do	
[10/8/25 03:35PM] Sender: Ghijf, Message: Aight gn	
[10/8/25 04:48PM] Sender: Grand, Message: Yo	
[10/8/25 05:16PM] Sender: Hank, Message: Yo	
[10/8/25 05:36PM] Sender: Spoon, Message: Howdy	
[10/8/25 05:39PM] Sender: Spoon, Message: Welcome	
[10/8/25 05:40PM] Sender: Pete, Message: Howdy	
[10/8/25 05:45PM] Sender: Pete, Message: Am i able to retuirn to the phase starter area?	
[10/8/25 05:45PM] Sender: Spoon, Message: Yea with starter	
[10/8/25 05:48PM] Sender: Pete, Message: Gthanks	
[10/8/25 06:08PM] Sender: Pete, Message: How to clai m vote?	
[10/8/25 06:10PM] Sender: Grand, Message: Gnn	
[10/8/25 06:25PM] Sender: Hank, Message: Small update for some card packs and paryer tele	
[10/8/25 07:45PM] Sender: Vibes, Message:  yo	
[10/8/25 07:45PM] Sender: Hank, Message: Yo	
[10/8/25 07:45PM] Sender: Vibes, Message:  back up in time for me to get on	
[10/8/25 07:45PM] Sender: Vibes, Message:  and thx for getting vote prompt to work with username!	
[10/8/25 07:47PM] Sender: Hank, Message: Prayer tele it fixed tho	
[10/8/25 07:48PM] Sender: Hank, Message: Yes waiting on rulocus	
[10/8/25 07:49PM] Sender: Hank, Message: Thats for waiting	
[10/8/25 07:49PM] Sender: You, Message: Tyy	
[10/8/25 07:49PM] Sender: Vibes, Message:  tysm	
[10/8/25 07:49PM] Sender: Hank, Message: Yw	
[10/8/25 08:06PM] Sender: You, Message: And gurls :d	
[10/8/25 08:07PM] Sender: Vibes, Message:  ?	
[10/8/25 08:07PM] Sender: Evilspot, Message: Bet	
[10/8/25 08:07PM] Sender: Hank, Message: Fast update for card packs and instance	
[10/8/25 08:08PM] Sender: Evilspot, Message: What about the upgraded ones	
[10/8/25 08:08PM] Sender: Hank, Message: Reg will be 150 now and u will be 300 spawns	
[10/8/25 08:08PM] Sender: Evilspot, Message: Niceeee	
[10/8/25 08:08PM] Sender: You, Message: Let him cook!!!!!!! :d	
[10/8/25 08:09PM] Sender: Hank, Message: This one will be fast i promis	
[10/8/25 08:10PM] Sender: Hank, Message: Vibes jesus	
[10/8/25 08:10PM] Sender: Hank, Message:  i see you clicking login	
[10/8/25 08:10PM] Sender: Vibes, Message:  lol	
[10/8/25 08:10PM] Sender: Hank, Message: Spam that mug	
[10/8/25 08:10PM] Sender: Vibes, Message:  really? wanted in	
[10/8/25 08:11PM] Sender: Hank, Message: Nice it worked	
[10/8/25 08:14PM] Sender: Vibes, Message:  suffering key, do you know where chest is?	
[10/8/25 08:15PM] Sender: You, Message: Minigame tele	
[10/8/25 08:15PM] Sender: Vibes, Message:  ahh mkes sense	
[10/8/25 08:15PM] Sender: You, Message: Souls of suffering :d had that key too,took some time to find it "d	
[10/8/25 08:22PM] Sender: Evilspot, Message: Hank	
[10/8/25 08:22PM] Sender: Hank, Message: Yo	
[10/8/25 08:31PM] Sender: Dox, Message: Good evening!	
[10/8/25 08:32PM] Sender: Evilspot, Message: Ola	
[10/8/25 08:33PM] Sender: History hawk, Message: Sup peeps	
[10/8/25 08:33PM] Sender: Spoon, Message: Sup	
[10/8/25 08:34PM] Sender: Dox, Message: How we all doing	
[10/8/25 08:34PM] Sender: Spoon, Message: Not bad and you	
[10/8/25 08:35PM] Sender: Pete, Message: Whiskey wednesday for me	
[10/8/25 08:35PM] Sender: Dox, Message: Not bad either, just got off work, 1 day to go lol	
[10/8/25 08:40PM] Sender: Spoon, Message: No pete	
[10/8/25 09:20PM] Sender: Dox, Message: Pog	
[10/8/25 09:20PM] Sender: History hawk, Message: Lol	
[10/8/25 09:22PM] Sender: Spoon, Message: Aww 2x skill xp ended.. 	
[10/8/25 09:22PM] Sender: Evilspot, Message: Awe	
[10/8/25 09:22PM] Sender: Spoon, Message: Went from 87-93 inv tho	
[10/8/25 09:23PM] Sender: History hawk, Message: Nice	
[10/8/25 09:33PM] Sender: Evilspot, Message: Kckckckc	
[10/8/25 09:33PM] Sender: Dox, Message: Tyty	
[10/8/25 09:34PM] Sender: Spoon, Message: Hank any chance i can get an amulet of ghost speak? :p	
[10/8/25 09:40PM] Sender: History hawk, Message: Anyone has a blood attachment?	
[10/8/25 09:40PM] Sender: Dox, Message: Nope	
[10/8/25 09:41PM] Sender: Evilspot, Message: Can i buy cape?	
[10/8/25 09:42PM] Sender: History hawk, Message: 100 goodiebags for 3 capes	
[10/8/25 09:42PM] Sender: History hawk, Message: Smh	
[10/8/25 09:42PM] Sender: Evilspot, Message: Jesus	
[10/8/25 09:42PM] Sender: Evilspot, Message: U selling?	
[10/8/25 09:42PM] Sender: Dox, Message: X[)	
[10/8/25 09:42PM] Sender: History hawk, Message: 11 jewelry bags gl me	
[10/8/25 09:47PM] Sender: Spoon, Message: Anymore bosses before i go sleep?	
[10/8/25 09:50PM] Sender: Hank, Message: Could be	
[10/8/25 09:53PM] Sender: Hank, Message:  1sec	
[10/8/25 09:54PM] Sender: Hank, Message: Was looking up spwan commands lol	
[10/8/25 09:54PM] Sender: Spoon, Message: Fair enough!! this one has alot of hp	
[10/8/25 09:55PM] Sender: Spoon, Message: Lol	
[10/8/25 10:04PM] Sender: Hank, Message: Spoon relog	
[10/8/25 10:04PM] Sender: Spoon, Message: :o	
[10/8/25 10:04PM] Sender: Spoon, Message: Thank you!	
[10/8/25 10:05PM] Sender: Hank, Message: More player and i choose next helper	
[10/8/25 10:07PM] Sender: Spoon, Message: And 6am for me so sleepy time, ill cya all tomorrow	
[10/8/25 10:07PM] Sender: Ghijf, Message: Oh u added vote website	
[10/8/25 10:09PM] Sender: Dox, Message: Take care hank	
[10/8/25 10:39PM] Sender: Ghijf, Message: Any way to look npc drops i know loot viewer 	
[10/8/25 10:39PM] Sender: Ghijf, Message: But thats for npc i want to look for items	
[10/8/25 10:45PM] Sender: Ghijf, Message: Brb gonna bring my son to schol	
[10/8/25 11:36PM] Sender: Ghijf, Message: Hey is there any welln?	
[10/9/25 01:08AM] Sender: Ghijf, Message: Wyd?	
[10/9/25 01:57AM] Sender: Ghijf, Message: Evil is right lmao	
[10/9/25 01:57AM] Sender: Ghijf, Message: P2w	
[10/9/25 01:57AM] Sender: Ghijf, Message: Zones aint worth grinding	
[10/9/25 02:10AM] Sender: Ghijf, Message: Lol just when i have to go work its slayer xp	
[10/9/25 05:00AM] Sender: Delicious, Message: Ugh hard slay boring, cant aoe it	
[10/9/25 05:00AM] Sender: Lazz, Message: :p	
[10/9/25 05:01AM] Sender: Grand, Message: Instanc do?	
